function,win percentage,average depth
f1,60.00,6.98025613660619
f1,65.00,6.842555618938961
f1,65.71,6.990695128626163
f1,67.14,6.93517017828201
f2,79.29,6.800217155266015
f2,72.86,6.932351336606656
f2,75.71,6.864745011086474
f2,77.86,6.785365853658536
f3,65.71,6.900167317345232
f3,65.71,7.010303377218088
f3,69.29,7.074845244794598
f3,60.71,7.11213341000575
f4,69.29,7.21987784564131
f4,70.00,7.2116115029842645
f4,68.57,7.174829157175399
f4,71.43,7.262631871182676
f5,70.71,6.907199100112486
f5,72.14,6.84776613348042
f5,72.86,6.953410981697171
f5,66.43,6.964678633468442
f6,64.29,7.297447280799112
f6,61.43,7.262631871182676
f6,66.43,7.208886324293133
f6,64.29,7.326869806094183
